2025-06-26 12:26:42,793 | __main__ | INFO | run_pipeline.py:661 | 🚀 Starting Plant Builder
2025-06-26 12:26:42,793 | __main__ | INFO | run_pipeline.py:662 | 📋 Template ID: 1
2025-06-26 12:26:42,793 | __main__ | INFO | run_pipeline.py:663 | 🌿 Feedstock: Natural Gas
2025-06-26 12:26:42,793 | __main__ | INFO | run_pipeline.py:664 | 📊 Production Capacity: 150000 tons/year
2025-06-26 12:26:42,793 | __main__ | INFO | run_pipeline.py:665 | 📍 Location: Texas, USA
2025-06-26 12:26:42,793 | __main__ | INFO | run_pipeline.py:666 | ⏰ Operating Hours: 8000
2025-06-26 12:26:42,795 | pynucleus.pipeline.plant_builder | INFO | plant_builder.py:25 | Loaded 5 plant templates
2025-06-26 12:26:42,795 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: Qwen/Qwen2.5-1.5B-Instruct
2025-06-26 12:26:42,835 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/tokenizer_config.json HTTP/1.1" 307 0
2025-06-26 12:26:42,855 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/Qwen/Qwen2.5-1.5B-Instruct/989aa7980e4cf806f80c7fef2b1adb7bc71aa306/tokenizer_config.json HTTP/1.1" 200 0
2025-06-26 12:26:42,893 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "GET /api/models/Qwen/Qwen2.5-1.5B-Instruct/tree/main/additional_chat_templates?recursive=False&expand=False HTTP/1.1" 404 64
2025-06-26 12:26:43,098 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/config.json HTTP/1.1" 307 0
2025-06-26 12:26:43,119 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/Qwen/Qwen2.5-1.5B-Instruct/989aa7980e4cf806f80c7fef2b1adb7bc71aa306/config.json HTTP/1.1" 200 0
2025-06-26 12:26:54,956 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/generation_config.json HTTP/1.1" 307 0
2025-06-26 12:26:54,979 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/Qwen/Qwen2.5-1.5B-Instruct/989aa7980e4cf806f80c7fef2b1adb7bc71aa306/generation_config.json HTTP/1.1" 200 0
2025-06-26 12:26:55,023 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/custom_generate/generate.py HTTP/1.1" 404 0
2025-06-26 12:26:55,023 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-26 12:26:55,024 | pynucleus.pipeline.plant_builder | INFO | plant_builder.py:127 | Built plant configuration for template 1
2025-06-26 12:26:55,024 | pynucleus.pipeline.financial_analyzer | INFO | financial_analyzer.py:127 | Requesting financial analysis from LLM
2025-06-26 12:27:20,374 | pynucleus.llm.llm_runner | INFO | llm_runner.py:201 | Generated response in 25.33s
2025-06-26 12:27:20,375 | pynucleus.pipeline.financial_analyzer | ERROR | financial_analyzer.py:84 | Error parsing financial response: No JSON found in response
2025-06-26 12:27:20,375 | pynucleus.pipeline.financial_analyzer | INFO | financial_analyzer.py:152 | Financial analysis completed successfully
2025-06-26 12:27:20,375 | __main__ | INFO | run_pipeline.py:767 | ✅ Plant build and analysis completed successfully
