2025-06-21 16:35:47,535 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 16:35:47,535 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 16:35:47,535 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3763 documents
2025-06-21 16:35:47,535 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:37 | Vector store (chroma) initialized successfully
2025-06-21 16:35:47,535 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:73 | ChromaDB collection contains 3763 documents
2025-06-21 16:35:47,535 | validate_rag_factual_accuracy | INFO | validate_rag_factual_accuracy.py:61 | Loading validation questions from docs/e2e_validation_questions.csv
2025-06-21 16:35:47,536 | validate_rag_factual_accuracy | INFO | validate_rag_factual_accuracy.py:128 | Loaded 0 questions from CSV
2025-06-21 16:35:47,536 | validate_rag_factual_accuracy | INFO | validate_rag_factual_accuracy.py:73 | Validating 0 questions...
2025-06-21 16:35:47,536 | validate_rag_factual_accuracy | INFO | validate_rag_factual_accuracy.py:106 | Validation completed: 0/0 passed
2025-06-21 16:35:47,618 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'What are the benefits of process intensification?...' returned 5 results
2025-06-21 16:35:47,618 | pynucleus | INFO | engine.py:202 | Retrieved 5 documents for question: 'What are the benefits of process intensification?...'
2025-06-21 16:35:47,618 | pynucleus | INFO | model_loader.py:80 | Generate called with prompt length: 2328, max_tokens: 400
2025-06-21 16:36:02,554 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'How does heat integration work in chemical process...' returned 5 results
2025-06-21 16:36:02,554 | pynucleus | INFO | engine.py:202 | Retrieved 5 documents for question: 'How does heat integration work in chemical process...'
2025-06-21 16:36:02,554 | pynucleus | INFO | model_loader.py:80 | Generate called with prompt length: 2278, max_tokens: 400
2025-06-21 16:36:18,055 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'What are the main types of chemical reactors?...' returned 5 results
2025-06-21 16:36:18,055 | pynucleus | INFO | engine.py:202 | Retrieved 5 documents for question: 'What are the main types of chemical reactors?...'
2025-06-21 16:36:18,055 | pynucleus | INFO | model_loader.py:80 | Generate called with prompt length: 2463, max_tokens: 400
2025-06-21 16:36:32,955 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 16:36:32,956 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 16:36:32,956 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3763 documents
2025-06-21 16:36:33,038 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'What are modular chemical plants?...' returned 3 results
2025-06-21 16:36:33,038 | pynucleus | WARNING | engine.py:144 | ChromaVectorStore retrieval failed, falling back to direct collection query: 'list' object has no attribute 'get'
2025-06-21 16:36:33,205 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'What are modular chemical plants?...' returned 5 results
2025-06-21 16:36:33,205 | pynucleus | INFO | engine.py:202 | Retrieved 5 documents for question: 'What are modular chemical plants?...'
2025-06-21 16:36:33,205 | pynucleus | INFO | model_loader.py:80 | Generate called with prompt length: 2364, max_tokens: 400
