2025-06-20 12:02:21,116 | __main__ | INFO | run_pipeline.py:517 | 🚀 Starting interactive chat session
2025-06-20 12:02:21,116 | __main__ | INFO | run_pipeline.py:518 | 🤖 Model ID: Qwen/Qwen2.5-1.5B-Instruct
2025-06-20 12:02:21,116 | __main__ | INFO | run_pipeline.py:519 | 📊 Top K: 5
2025-06-20 12:02:21,116 | __main__ | INFO | run_pipeline.py:532 | 🔧 Initializing RAG pipeline and LLM runner
2025-06-20 12:02:21,117 | pynucleus.rag.vector_store | INFO | vector_store.py:600 | ChromaDB client initialized successfully in vector store
2025-06-20 12:02:21,117 | pynucleus.rag.vector_store | INFO | vector_store.py:629 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-20 12:02:21,117 | pynucleus.rag.vector_store | INFO | vector_store.py:634 | ChromaDB collection contains 3587 documents
2025-06-20 12:02:21,117 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:37 | Vector store (chroma) initialized successfully
2025-06-20 12:02:21,118 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:73 | ChromaDB collection contains 3587 documents
2025-06-20 12:02:21,118 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: Qwen/Qwen2.5-1.5B-Instruct
2025-06-20 12:02:27,604 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-20 12:02:32,470 | pynucleus.rag.vector_store | INFO | vector_store.py:600 | ChromaDB client initialized successfully in vector store
2025-06-20 12:02:32,471 | pynucleus.rag.vector_store | INFO | vector_store.py:629 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-20 12:02:32,473 | pynucleus.rag.vector_store | INFO | vector_store.py:634 | ChromaDB collection contains 3587 documents
2025-06-20 12:02:32,473 | pynucleus.rag.vector_store | ERROR | vector_store.py:764 | ChromaDB search failed: Expected include item to be one of documents, embeddings, metadatas, distances, uris, data, got ids in query.
2025-06-20 12:03:26,623 | pynucleus.llm.llm_runner | INFO | llm_runner.py:201 | Generated response in 53.39s
