2025-06-21 04:56:08,499 | pynucleus | INFO | run_web_app.py:71 | PyNucleus web application starting
2025-06-21 04:56:08,552 | werkzeug | INFO | _internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.1.13:5001
2025-06-21 04:56:08,552 | werkzeug | INFO | _internal.py:97 | [33mPress CTRL+C to quit[0m
2025-06-21 04:56:16,417 | pynucleus.api.app | INFO | app.py:113 | Health check requested
2025-06-21 04:56:16,474 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 04:56:16,474 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 04:56:16,546 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3588 documents
2025-06-21 04:56:16,669 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'test...' returned 5 results
2025-06-21 04:56:16,670 | pynucleus | WARNING | model_loader.py:62 | Prompt truncated to 1500 characters
2025-06-21 04:56:18,899 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 04:56:18,899 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 04:56:18,899 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3588 documents
2025-06-21 04:56:18,900 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 04:56:18] "GET /health HTTP/1.1" 200 -
2025-06-21 04:56:24,847 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 04:56:24] "[36mGET / HTTP/1.1[0m" 304 -
2025-06-21 04:56:25,170 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'test...' returned 1 results
2025-06-21 04:56:25,170 | pynucleus | WARNING | engine.py:144 | ChromaVectorStore retrieval failed, falling back to direct collection query: 'list' object has no attribute 'get'
2025-06-21 04:56:25,171 | pynucleus | INFO | engine.py:39 | ChromaDB client initialized successfully in engine
2025-06-21 04:56:25,173 | pynucleus | INFO | logger.py:24 | ✅ ChromaDB collection initialized successfully
2025-06-21 04:56:25,395 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for '...' returned 1000 results
2025-06-21 04:56:25,395 | pynucleus | WARNING | engine.py:144 | ChromaVectorStore retrieval failed, falling back to direct collection query: 'list' object has no attribute 'get'
