2025-06-30 17:19:27,225 | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json "HTTP/1.1 200 OK"
2025-06-30 17:19:27,552 | test_module | INFO | app.py:112 | Redis distributed cache initialized
2025-06-30 17:19:27,553 | test_module | INFO | app.py:86 | PyNucleus Flask API starting up (Instance: api-default)...
2025-06-30 17:19:27,555 | src.pynucleus.api.app | INFO | app.py:112 | Redis distributed cache initialized
2025-06-30 17:19:27,556 | src.pynucleus.api.app | INFO | app.py:86 | PyNucleus Flask API starting up (Instance: api-default)...
2025-06-30 17:19:27,556 | src.pynucleus.api.app | INFO | app.py:112 | Redis distributed cache initialized
2025-06-30 17:19:27,557 | src.pynucleus.api.app | INFO | app.py:86 | PyNucleus Flask API starting up (Instance: api-default)...
2025-06-30 17:19:28,024 | test_module | WARNING | cache_integration.py:41 | Redis unavailable, caching disabled: Error 61 connecting to localhost:6379. Connection refused.
2025-06-30 17:19:28,070 | pynucleus.data.mock_data_manager | INFO | mock_data_manager.py:46 | Loaded mock data from configs/mock_data_config.json
2025-06-30 17:19:28,070 | pynucleus.data.mock_data_manager | INFO | mock_data_manager.py:47 | Available: 22 plant templates, 5 technical documents
2025-06-30 17:19:28,091 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-30 17:19:28,091 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-30 17:19:28,107 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-30 17:19:28,107 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:41 | Vector store (chroma) initialized successfully
2025-06-30 17:19:28,110 | pynucleus | INFO | engine.py:78 | ChromaDB collection initialized successfully
2025-06-30 17:19:28,110 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:77 | ChromaDB collection contains 3772 documents
2025-06-30 17:19:28,131 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 17:19:39,260 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-30 17:19:39,261 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-30 17:19:39,331 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-30 17:19:39,331 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:41 | Vector store (chroma) initialized successfully
2025-06-30 17:19:39,332 | pynucleus | INFO | engine.py:78 | ChromaDB collection initialized successfully
2025-06-30 17:19:39,333 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:77 | ChromaDB collection contains 3772 documents
2025-06-30 17:19:39,374 | pynucleus.rag.vector_store | INFO | vector_store.py:363 | No existing FAISS directories found
2025-06-30 17:19:39,374 | pynucleus.pipeline.pipeline_utils | INFO | pipeline_utils.py:42 | Pipeline components initialized successfully
2025-06-30 17:19:39,374 | pynucleus.pipeline.pipeline_utils | WARNING | pipeline_utils.py:46 | FAISS vector store not loaded - using fallback mode
2025-06-30 17:19:39,376 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-30 17:19:39,376 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-30 17:19:39,377 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-30 17:19:39,377 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:41 | Vector store (chroma) initialized successfully
2025-06-30 17:19:39,377 | pynucleus | INFO | engine.py:78 | ChromaDB collection initialized successfully
2025-06-30 17:19:39,377 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:77 | ChromaDB collection contains 3772 documents
2025-06-30 17:19:39,379 | pynucleus.integration.llm_output_generator | INFO | llm_output_generator.py:21 | Using direct content generation (templates migrated to DSPy)
2025-06-30 17:19:39,380 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-30 17:19:39,380 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-30 17:19:39,380 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-30 17:19:39,392 | src.pynucleus.api.app | INFO | app.py:447 | Cleaning up application resources...
2025-06-30 17:19:39,392 | src.pynucleus.api.app | INFO | app.py:449 | Resource cleanup completed
2025-06-30 17:19:39,392 | src.pynucleus.api.app | INFO | app.py:447 | Cleaning up application resources...
2025-06-30 17:19:39,392 | src.pynucleus.api.app | INFO | app.py:449 | Resource cleanup completed
2025-06-30 17:19:39,392 | test_module | INFO | app.py:447 | Cleaning up application resources...
2025-06-30 17:19:39,392 | test_module | INFO | app.py:449 | Resource cleanup completed
2025-06-30 17:19:39,392 | pynucleus.api.app | INFO | app.py:447 | Cleaning up application resources...
2025-06-30 17:19:39,393 | pynucleus.api.app | INFO | app.py:449 | Resource cleanup completed
2025-06-30 17:19:39,393 | pynucleus.api.app | INFO | app.py:447 | Cleaning up application resources...
2025-06-30 17:19:39,393 | pynucleus.api.app | INFO | app.py:449 | Resource cleanup completed
